metric,study_margin,multiplier,test_margin,bias,ci90_lo,ci90_hi,boot_base_lo,boot_base_hi,tost_equiv,boot_equiv,verdict
mean_glucose_mgdl,10.0,0.5,5.0,-2.0978621126237784,-2.7425727114708867,-1.4531515137766702,-5.461718171258547,2.17657843215566,True,False,Not robust (base-boot)
mean_glucose_mgdl,10.0,0.75,7.5,-2.0978621126237784,-2.7425727114708867,-1.4531515137766702,-5.461718171258547,2.17657843215566,True,True,Robustly equivalent
mean_glucose_mgdl,10.0,1.0,10.0,-2.0978621126237784,-2.7425727114708867,-1.4531515137766702,-5.461718171258547,2.17657843215566,True,True,Robustly equivalent
mean_glucose_mgdl,10.0,1.25,12.5,-2.0978621126237784,-2.7425727114708867,-1.4531515137766702,-5.461718171258547,2.17657843215566,True,True,Robustly equivalent
mean_glucose_mgdl,10.0,1.5,15.0,-2.0978621126237784,-2.7425727114708867,-1.4531515137766702,-5.461718171258547,2.17657843215566,True,True,Robustly equivalent
mean_glucose_mgdl,10.0,2.0,20.0,-2.0978621126237784,-2.7425727114708867,-1.4531515137766702,-5.461718171258547,2.17657843215566,True,True,Robustly equivalent
cv_percent,5.0,0.5,2.5,1.0130315196484494,0.81107682462999,1.2149862146669088,-0.04061261612834262,1.8131963850235846,True,True,Robustly equivalent
cv_percent,5.0,0.75,3.75,1.0130315196484494,0.81107682462999,1.2149862146669088,-0.04061261612834262,1.8131963850235846,True,True,Robustly equivalent
cv_percent,5.0,1.0,5.0,1.0130315196484494,0.81107682462999,1.2149862146669088,-0.04061261612834262,1.8131963850235846,True,True,Robustly equivalent
cv_percent,5.0,1.25,6.25,1.0130315196484494,0.81107682462999,1.2149862146669088,-0.04061261612834262,1.8131963850235846,True,True,Robustly equivalent
cv_percent,5.0,1.5,7.5,1.0130315196484494,0.81107682462999,1.2149862146669088,-0.04061261612834262,1.8131963850235846,True,True,Robustly equivalent
cv_percent,5.0,2.0,10.0,1.0130315196484494,0.81107682462999,1.2149862146669088,-0.04061261612834262,1.8131963850235846,True,True,Robustly equivalent
