rep,fold,selected_model,n_test,bias_nocturnal_lbgi,bias_nocturnal_hbgi,bias_dawn_lbgi,bias_dawn_hbgi
0,0,plus_noct_dawn_hbgi,92,0.0824876203590807,6.84456851992968,0.7970290713949902,4.570700806969333
0,1,plus_noct_dawn_hbgi,101,0.07975466082030809,6.744000496820508,0.8640333470892277,4.658993921781845
0,2,plus_noct_dawn_hbgi,109,-0.01924302797166637,7.2625181967560275,0.7558107392345222,4.728955617838947
0,3,plus_noct_dawn_hbgi,101,0.14404742423612474,6.180959544349918,0.8738279182989074,3.674762537151844
0,4,plus_noct_dawn_hbgi,79,-0.5453260643048666,6.278943010756894,0.3712821969239022,4.00147257390401
1,0,plus_noct_dawn_hbgi,85,0.2849620346089101,6.9002883789173435,1.010407834085133,4.473169481721824
1,1,plus_noct_dawn_hbgi,96,-0.677386098043685,6.359934799152032,0.47153425013831857,4.019271648799706
1,2,plus_noct_dawn_hbgi,91,-0.4792594342429635,6.813432959630685,0.37692352062687534,4.344528062163711
1,3,plus_noct_dawn_hbgi,110,0.34866208340948207,6.582982344902132,0.8892867997285971,4.74502113222256
1,4,plus_noct_dawn_hbgi,100,0.21407248161374842,6.423390742648646,0.9749761835359244,4.08992147436381
2,0,plus_noct_dawn_hbgi,102,0.06738509613563265,7.100622787080837,0.7724265663154869,4.748755693901513
2,1,plus_noct_dawn_hbgi,76,-0.1594658452989745,6.0232527647253535,0.8537714426669658,3.676991041322473
2,2,plus_noct_dawn_hbgi,108,0.09135278101822317,6.473913279298673,0.7780232801758138,4.095341681894554
2,3,plus_noct_dawn_hbgi,109,-0.07162049521766765,6.999744803615011,0.840666885181872,4.751146971255198
2,4,plus_noct_dawn_hbgi,87,-0.20095877922722685,6.665862619080483,0.46806328043504764,4.318423679272037
3,0,plus_noct_dawn_hbgi,94,0.03404290885934116,7.550264320639736,0.7772127772745032,5.022150204963377
3,1,plus_noct_dawn_hbgi,98,0.061966192954246914,6.524606735528347,0.7627176380274179,4.383899414232467
3,2,plus_noct_dawn_hbgi,97,-0.0719110450814142,6.882946503511669,0.6670681710014856,4.524062783260944
3,3,plus_noct_dawn_hbgi,92,-0.23072856886325255,6.126195910800824,0.5892001772063538,4.085859956448712
3,4,plus_noct_dawn_hbgi,101,-0.018908985108659612,6.262672626139887,0.8896705718531719,3.765003728211781
4,0,plus_noct_dawn_hbgi,96,0.1444045010042734,6.466779966886307,0.738748640065892,4.247731832190653
4,1,plus_noct_dawn_hbgi,103,0.058585932288767684,6.48715949598099,1.0038022439027738,4.242139186653059
4,2,plus_noct_dawn_hbgi,97,-0.12544910010213,7.307518246515084,0.6231870016256295,4.869986617361434
4,3,plus_noct_dawn_hbgi,105,-0.11555463251841457,6.7531732581314525,0.5848610039150344,4.3584848031671655
4,4,plus_noct_dawn_hbgi,81,-0.0863804092134925,6.342357721692864,0.8141703916403354,3.9971070867043013
5,0,plus_noct_dawn_hbgi,93,-0.23713385768237455,6.632084748049481,0.4618726188258539,4.504510931755048
5,1,plus_noct_dawn_hbgi,104,0.08794552562638562,6.5055685789844935,0.7497550262762419,4.424936282569983
5,2,plus_noct_dawn_hbgi,71,-0.5999944927082397,6.0777080784186275,0.328325640754425,4.681118874109337
5,3,plus_noct_dawn_hbgi,103,0.1975037387794789,7.0356197302762675,1.0400333388239866,4.250288030702029
5,4,plus_noct_dawn_hbgi,111,0.30751846518342485,6.7390788100881025,1.0511676347500596,4.057400653764895
6,0,plus_noct_dawn_hbgi,107,0.01731434710514879,7.066211410300535,0.8126930029506971,4.2588808067762365
6,1,plus_noct_dawn_hbgi,93,-0.04548351432939747,6.391992632785406,0.7055699428177628,4.526653866145127
6,2,plus_noct_dawn_hbgi,89,-0.2755372558774558,7.06279703412157,0.58492490040069,4.550260036670708
6,3,plus_noct_dawn_hbgi,90,0.02866355525191481,6.5106404081437645,0.8277034997459154,4.370607730355493
6,4,plus_noct_dawn_hbgi,103,0.10072735758356054,6.5500615653786,0.7903494762674069,4.14252098338945
7,0,plus_noct_dawn_hbgi,102,0.11262956476758146,6.951673786446383,1.1242008568059907,4.556438544864769
7,1,plus_noct_dawn_hbgi,93,-0.27424292661578836,6.47535922765009,0.4701938034043515,3.494991233005664
7,2,plus_noct_dawn_hbgi,87,0.062305581017408344,6.73834859231159,0.7373410385394112,4.767366979669579
7,3,plus_noct_dawn_hbgi,96,-0.0770151298853704,6.487280049126883,0.49455885978817643,4.6162202801179335
7,4,plus_noct_dawn_hbgi,104,-0.08647530521241022,6.713442409503802,0.8411036372702779,4.377802162939381
8,0,plus_noct_dawn_hbgi,102,0.12357655335824513,6.635963216005332,0.8871158404532081,4.091870465607696
8,1,plus_noct_dawn_hbgi,91,0.00887056783127756,6.600942957814883,0.8460147859856817,4.368016839405795
8,2,plus_noct_dawn_hbgi,98,-0.15777327944573966,6.8782255657207925,0.6196303265732337,4.581711745358705
8,3,plus_noct_dawn_hbgi,90,-0.26643804968634915,7.082666890011107,0.65197252130271,4.771204233228104
8,4,plus_noct_dawn_hbgi,101,0.1668253827825093,6.392271197517116,0.8084146812939862,4.035061386536988
9,0,plus_noct_dawn_hbgi,88,0.3067401626800326,6.828378015782866,1.0402158979531915,4.2949716533064315
9,1,plus_noct_dawn_hbgi,95,0.12359413415516574,6.711177299386157,0.9085331478880015,4.200368923499038
9,2,plus_noct_dawn_hbgi,95,-0.14800865358622076,6.82712063668796,0.584197405578629,4.271304958598027
9,3,plus_noct_dawn_hbgi,111,-0.4343874294910697,6.787964333906936,0.4262682381833574,5.03289245417818
9,4,plus_noct_dawn_hbgi,93,0.02953555811266143,6.282607331444815,0.825581828878953,3.8628008884872576
